txtkontakid;status;umur;gender;prov;produk_kes;bekerja;payday;saudara
2111-W545246;0;20-30 Tahun;1;RIAU;0;1;0;-1
2003-TR12311;0;30-40 Tahun;1;JAWA BARAT;1;1;0;-1
0901-1054259;0;40-50 Tahun;0;BALI;0;1;1;-1
1310-6593038;0;40-50 Tahun;1;JAWA BARAT;1;1;0;-1
2011-PW12241;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1707-GR14978;0;30-40 Tahun;1;SULAWESI SELATAN;0;0;1;-1
1907-Z767716;0;20-30 Tahun;1;JAWA BARAT;0;0;1;-1
1504-D427980;0;40-50 Tahun;1;JAWA TIMUR;0;0;0;-1
2108-RPA2058;0;30-40 Tahun;0;KEPULAUAN RIAU;0;1;0;-1
2002-OP25172;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1207-7107209;0;40-50 Tahun;1;JAWA BARAT;0;1;0;4
0709-1362810;0;40-50 Tahun;1;BALI;0;1;1;-1
1910-RT08643;0;30-40 Tahun;0;DKI JAKARTA;0;1;0;-1
2001-RT01023;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
1201-5412803;0;50-70 Tahun;1;JAWA TIMUR;0;1;0;-1
2011-Q827786;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1105-1733470;0;40-50 Tahun;1;DKI JAKARTA;0;0;0;-1
1801-H367720;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
2004-CX05604;0;20-30 Tahun;1;SULAWESI SELATAN;0;0;0;-1
2001-OI37662;0;20-30 Tahun;1;SUMATERA SELATAN;0;0;0;-1
1109-1528793;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1110-1107800;0;40-50 Tahun;1;SUMATERA UTARA;0;0;0;2
1204-5368931;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;0
2011-PQ96243;0;20-30 Tahun;1;SUMATERA UTARA;0;0;0;-1
2111-PA44872;0;50-70 Tahun;1;JAWA TENGAH;0;0;0;-1
2102-5482785;0;20-30 Tahun;1;SUMATERA UTARA;0;1;0;-1
2105-T030627;0;30-40 Tahun;0;JAWA TENGAH;0;1;0;-1
1605-2518136;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1912-CX91842;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2009-T562938;0;30-40 Tahun;1;JAWA TENGAH;0;0;0;-1
2008-Q572112;0;30-40 Tahun;1;BALI;0;0;0;-1
2012-AO25239;0;30-40 Tahun;1;JAWA TENGAH;1;1;0;-1
1206-1953922;1;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
1504-D350035;0;30-40 Tahun;1;BANTEN;0;0;0;-1
2105-W519672;0;50-70 Tahun;1;KALIMANTAN SELATAN;0;1;0;-1
2101-T557000;0;30-40 Tahun;1;SUMATERA BARAT;0;1;0;-1
2001-Z775993;0;20-30 Tahun;1;JAWA TENGAH;0;1;0;-1
1712-K265125;0;30-40 Tahun;1;JAWA BARAT;0;0;1;-1
1604-H198741;0;20-30 Tahun;1;LAMPUNG;0;0;1;-1
1010-1800616;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
1801-K453959;0;30-40 Tahun;1;SUMATERA UTARA;0;1;1;-1
2012-OI05120;0;20-30 Tahun;1;DI  ACEH;0;0;0;0
1801-J122354;0;30-40 Tahun;1;JAWA BARAT;0;0;0;0
0901-1074396;0;40-50 Tahun;1;JAWA TIMUR;0;1;0;-1
1812-T574743;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
1211-4005660;0;40-50 Tahun;1;JAWA TENGAH;0;0;1;-1
2009-I871974;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
1810-D474540;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
1810-I872823;0;30-40 Tahun;1;JAWA TIMUR;0;1;1;-1
2002-M282012;0;30-40 Tahun;1;JAWA TIMUR;0;1;1;-1
0904-1615703;0;40-50 Tahun;1;RIAU;0;0;0;1
2102-QP13913;0;20-30 Tahun;1;RIAU;0;1;1;-1
1609-3122514;0;50-70 Tahun;1;DKI JAKARTA;0;0;0;-1
1502-4382327;0;30-40 Tahun;1;SULAWESI SELATAN;0;1;0;-1
2006-R070838;0;50-70 Tahun;1;SUMATERA UTARA;0;1;0;-1
2010-W515134;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
2103-PR20018;0;20-30 Tahun;1;KEPULAUAN RIAU;0;0;0;-1
1701-J128357;0;20-30 Tahun;1;JAWA TIMUR;0;1;1;-1
2010-T043488;0;30-40 Tahun;1;SUMATERA UTARA;0;1;1;-1
1906-Q867194;0;30-40 Tahun;1;SUMATERA UTARA;0;0;0;-1
2011-I882422;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
1905-V445306;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
1908-PO73657;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
1907-PQ86263;0;20-30 Tahun;1;SULAWESI SELATAN;0;1;0;-1
1212-8701829;0;50-70 Tahun;1;JAWA TIMUR;0;1;0;-1
2102-T030525;0;20-30 Tahun;1;SULAWESI UTARA;0;0;0;-1
1910-C912590;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
2004-CX99317;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
1911-OP51897;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
2001-Z767708;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2101-PW01385;0;20-30 Tahun;1;LAMPUNG;0;1;0;-1
2009-PQ24131;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2007-T553001;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
1811-GR12973;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1504-3070250;0;20-30 Tahun;1;DKI JAKARTA;0;1;1;-1
1905-Z775882;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1610-E451468;0;30-40 Tahun;1;BENGKULU;0;1;0;-1
1010-1677050;0;50-70 Tahun;1;DKI JAKARTA;0;0;0;-1
1406-4519377;0;30-40 Tahun;1;JAWA TENGAH;0;0;0;1
2103-4CX9508;0;20-30 Tahun;1;NUSA TENGGARA BARAT;0;1;1;-1
1206-1081948;0;40-50 Tahun;1;DKI JAKARTA;0;1;0;-1
1306-5762072;0;30-40 Tahun;1;KALIMANTAN SELATAN;1;0;0;-1
1905-I897135;0;20-30 Tahun;1;DKI JAKARTA;0;1;0;-1
2106-Q643591;0;20-30 Tahun;1;SUMATERA UTARA;0;0;0;-1
2001-OI41933;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1403-1166444;0;30-40 Tahun;1;DIY YOGYAKARTA;1;0;0;-1
2001-Q835683;0;20-30 Tahun;1;DKI JAKARTA;0;0;1;-1
1501-C902639;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
1401-4414475;0;40-50 Tahun;1;DKI JAKARTA;0;1;1;0
1204-1640274;0;40-50 Tahun;1;JAWA BARAT;0;1;0;-1
2012-F149507;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1412-7361551;0;30-40 Tahun;1;RIAU;0;0;0;-1
2110-PM48597;0;30-40 Tahun;1;JAWA TIMUR;0;0;1;-1
1803-ZZ15169;0;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
2110-IS52235;0;30-40 Tahun;1;BANTEN;0;0;1;-1
1809-V448566;0;30-40 Tahun;1;SUMATERA UTARA;0;0;0;-1
2010-P750481;0;40-50 Tahun;1;BANTEN;0;1;0;-1
2102-5484114;0;20-30 Tahun;1;BANTEN;0;0;0;-1
2008-T041820;0;30-40 Tahun;1;SUMATERA BARAT;0;1;0;-1
1408-7034701;0;30-40 Tahun;1;JAWA TENGAH;1;1;0;-1
1811-3921228;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
1405-1169802;0;20-30 Tahun;1;DIY YOGYAKARTA;0;1;0;-1
2011-PPX9317;0;20-30 Tahun;1;BANTEN;0;1;1;-1
2007-XNH9859;0;30-40 Tahun;1;KEPULAUAN RIAU;0;1;0;-1
2007-RO85327;0;20-30 Tahun;1;JAWA TENGAH;0;0;0;-1
2003-PQ98941;0;20-30 Tahun;1;KALIMANTAN TIMUR;0;0;0;-1
2010-CX01266;0;20-30 Tahun;1;KEPULAUAN RIAU;0;0;0;-1
1810-3073628;0;20-30 Tahun;1;DKI JAKARTA;0;0;0;-1
2101-4389202;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2008-TR02845;0;40-50 Tahun;1;DI  ACEH;0;1;0;3
1812-P611499;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2111-PA41251;0;50-70 Tahun;1;JAWA BARAT;0;0;0;-1
2010-Q832945;0;30-40 Tahun;1;RIAU;0;1;0;1
1905-PKL3311;0;20-30 Tahun;1;LAMPUNG;0;0;0;-1
2102-AO23209;0;20-30 Tahun;1;SUMATERA UTARA;0;1;0;-1
1407-9056819;1;30-40 Tahun;1;DIY YOGYAKARTA;0;1;0;-1
2104-D426071;0;30-40 Tahun;0;BANTEN;0;1;1;-1
2011-W519726;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
1104-1732414;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1105-1795324;0;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
2102-T556233;0;20-30 Tahun;1;JAWA TIMUR;1;0;0;-1
2004-K795824;0;40-50 Tahun;1;JAWA TIMUR;0;0;0;-1
0507-0045957;0;50-70 Tahun;1;DKI JAKARTA;0;1;0;1
1811-W561986;0;30-40 Tahun;1;BANTEN;0;0;0;-1
2012-H810208;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2012-T554346;0;20-30 Tahun;0;JAWA TIMUR;0;1;0;-1
1709-D658415;0;20-30 Tahun;1;DKI JAKARTA;0;0;1;-1
2009-AN06387;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
2002-Q823625;0;30-40 Tahun;0;DIY YOGYAKARTA;0;1;0;-1
1904-W545729;0;20-30 Tahun;1;KALIMANTAN UTARA;0;1;0;-1
1911-RT01510;0;20-30 Tahun;1;JAWA TIMUR;0;0;1;-1
1312-1276127;0;40-50 Tahun;1;DKI JAKARTA;0;1;1;0
2104-CX50118;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2012-KLK6948;0;30-40 Tahun;1;SUMATERA UTARA;0;0;0;-1
2006-PW35029;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
0911-1109673;0;40-50 Tahun;1;DKI JAKARTA;0;0;0;1
2008-OI05920;0;30-40 Tahun;1;SULAWESI SELATAN;0;1;0;-1
2011-RO72494;1;20-30 Tahun;1;BALI;0;0;0;-1
1901-T577553;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1912-PQ11752;0;20-30 Tahun;1;SUMATERA SELATAN;0;1;0;-1
2110-RT37405;0;20-30 Tahun;0;SULAWESI SELATAN;0;1;1;-1
2011-Q789594;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
1601-9055031;0;30-40 Tahun;1;BANTEN;0;0;0;-1
2101-ZW26928;0;30-40 Tahun;1;BANTEN;1;0;0;-1
1912-Q795571;0;30-40 Tahun;0;DKI JAKARTA;0;1;1;-1
2012-W518718;0;20-30 Tahun;1;NUSA TENGGARA BARAT;0;0;1;-1
1705-DE11145;0;40-50 Tahun;1;SUMATERA SELATAN;0;1;0;0
1301-7398873;0;50-70 Tahun;1;NUSA TENGGARA BARAT;0;0;0;-1
1907-CV16830;0;20-30 Tahun;1;BANTEN;0;1;0;-1
1802-V606227;0;20-30 Tahun;1;BANTEN;1;1;0;-1
1310-C903099;0;40-50 Tahun;1;JAWA TIMUR;0;0;0;2
1903-T758691;0;20-30 Tahun;1;JAWA TIMUR;0;0;1;-1
2101-XNH4102;0;30-40 Tahun;1;BANTEN;0;0;0;-1
2104-D663723;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1807-K254804;0;30-40 Tahun;1;JAWA BARAT;0;1;0;1
2001-M285871;0;30-40 Tahun;1;JAWA TIMUR;1;0;0;-1
1309-4517596;0;50-70 Tahun;1;JAWA TIMUR;0;0;0;-1
2102-W517997;0;20-30 Tahun;1;KEPULAUAN RIAU;0;0;1;-1
2009-XQ04137;0;40-50 Tahun;1;RIAU;0;0;0;-1
2002-PQ13043;0;30-40 Tahun;1;DKI JAKARTA;0;0;1;-1
2012-OI66153;0;30-40 Tahun;0;RIAU;0;0;0;-1
1912-OP58351;0;20-30 Tahun;1;JAWA TENGAH;0;1;1;-1
1907-CX58276;0;30-40 Tahun;0;NUSA TENGGARA TIMUR;0;1;0;-1
1510-4379315;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
2012-4CX2978;0;30-40 Tahun;1;SUMATERA UTARA;0;0;0;-1
1102-1751133;0;50-70 Tahun;1;JAWA TIMUR;1;0;0;0
1008-1093475;0;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
2201-LT48835;0;30-40 Tahun;1;RIAU;0;1;0;-1
1909-OI34674;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2010-SR19853;0;30-40 Tahun;1;JAWA TENGAH;0;0;0;-1
1409-D662134;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2004-T553538;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
1403-5572060;0;40-50 Tahun;1;SUMATERA UTARA;0;1;1;1
2005-Q839017;0;20-30 Tahun;1;RIAU;0;1;0;-1
2010-PW40842;0;30-40 Tahun;1;SUMATERA BARAT;0;1;0;-1
2102-Q577475;0;30-40 Tahun;1;BALI;0;0;0;-1
2009-OI44854;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
2011-Q878983;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
1302-6859255;0;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
1906-T753947;0;20-30 Tahun;1;RIAU;0;1;0;-1
2012-EV13769;0;20-30 Tahun;1;PAPUA;0;1;0;-1
2005-3CX4592;0;20-30 Tahun;1;BANTEN;0;0;0;-1
